id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46855857,STAY&CO - Classic Two Bed Apt Macquarie Park,297512659,Stay&Co,,Ryde,-33.78014,151.11328,Entire home/apt,199,2,21,2021-10-30,1.99,12,350,21,PID-STRA-20069
46857888,FAIRLIGHT LUXE - The Scout Group,43736801,The Scout Group,,Manly,-33.79728,151.27477,Entire home/apt,500,90,0,,,26,0,0,
46858158,Private bedroom in Bondi Junction,158759965,Gracielle,,Waverley,-33.89313,151.25583,Entire home/apt,690,90,0,,,2,0,0,
46858539,PROS - Villa Sunset Seaforth Luxury Home,16357713,PropertyProviders,,Manly,-33.80114,151.23715,Entire home/apt,713,7,0,,,87,94,0,PID-STRA-20506
46858541,Charming Stone Cottage in the Heart of Paddington,29297095,Nicole,,Sydney,-33.88733,151.22847,Entire home/apt,411,3,9,2021-05-10,1.12,1,137,9,PID-STRA-2567
46858589,Sun-filled Beachside Apartment,378536914,Samantha,,Waverley,-33.8853,151.27494,Entire home/apt,429,90,0,,,1,0,0,
46858825,STYLISH HOME // MOMENTS TO STUNNING WATERFRONT,224426080,Alexandro,,Hunters Hill,-33.83111,151.12854,Entire home/apt,155,2,6,2021-08-05,0.62,3,31,6,PID-STRA-26776
46858894,Manly Beach views from level 12,173263432,Beaches BnB Management: Sue,,Manly,-33.79408,151.28574,Entire home/apt,311,3,16,2021-05-05,1.58,9,109,16,PID-STRA-17888
46859542,"Perfect Sydney CBD Access & Comfort, Millers Point",346218508,Johannes,,Sydney,-33.8591,151.20303,Entire home/apt,232,90,27,2021-09-23,12.09,10,16,27,
46859860,Refurbished studio with an amazing view + free PARKING!,216159238,Paul,,Sydney,-33.87526,151.22455,Entire home/apt,119,1,20,2021-10-24,2.01,8,127,20,PID-STRA-18998-1
46861355,Beautiful Bronte apartment minutes from the beach,15258051,Martin,,Waverley,-33.90233,151.2594,Entire home/apt,120,90,0,,,1,0,0,
46861658,Beach Guest Suite - moments walk to beach and town,289641685,Cydney,,Pittwater,-33.66034,151.32283,Entire home/apt,117,2,7,2021-09-25,0.96,1,46,7,PID-STRA-3704
46861722,Relaxing calm space in the heart of Manly Vale,52868941,Megan,,Warringah,-33.77977,151.26862,Entire home/apt,160,90,0,,,2,0,0,
46862177,Coogee Apartment,54750320,Michaela,,Randwick,-33.92044,151.25468,Entire home/apt,250,90,0,,,1,0,0,
46862607,Relaxing calm room in the heart of Manly Vale,52868941,Megan,,Warringah,-33.78147,151.27086,Private room,60,90,3,2021-05-30,0.35,2,89,3,
46863772,Sandy Beach House overlooking gorgeous Sandy Bay,55182914,Peter,,Manly,-33.80159,151.25366,Entire home/apt,2315,6,0,,,1,88,0,PID-STRA-25896
46863967,"Balcony, Beach, Parking, Designer Living = Dream!",2433119,Amber,,Waverley,-33.87756,151.27211,Entire home/apt,120,3,10,2021-10-04,0.97,1,7,10,PID-STRA-26242
46864034,Perfect Holiday Home for Family & Groups,51572260,Yvonne,,Parramatta,-33.80506,151.03055,Entire home/apt,300,90,0,,,4,0,0,
46864288,Everything you need! Clean and Comfy getaway,151606792,Charissa & Langi,,Ryde,-33.81585,151.09975,Entire home/apt,150,90,5,2021-05-16,0.50,1,0,5,
46865771,Beautiful home w/character in excellent location,341354310,Maya,,Waverley,-33.89926,151.24862,Entire home/apt,500,90,0,,,1,0,0,
46866070,Bedroom between Bondi Junction and Bondi Beach,39411569,Alie,,Waverley,-33.89426,151.25423,Private room,80,90,0,,,1,84,0,
46868533,WAREHOUSE CONVERTED 1BR AT MOUNTAIN STREET-SYDNEY,156409670,Tia,,Sydney,-33.88365,151.19623,Entire home/apt,375,90,0,,,21,364,0,
46873771,Marrickville Muse,38732336,David,,Marrickville,-33.91936,151.14672,Entire home/apt,118,4,2,2021-06-14,0.36,1,33,2,PID-STRA-9382
46878231,Bondi Beach Luxury Apartment,303951573,Olive,,Waverley,-33.89102,151.26433,Entire home/apt,200,90,0,,,1,0,0,
46878580,THE BUNGAN STUDIO,269689583,Jill,,Pittwater,-33.66392,151.31768,Entire home/apt,550,2,0,,,10,174,0,PID-STRA-16737
46879889,A Cozy & Spacious Apt for 6 Next to Darling Harbour,343442154,Advante Homes,,Sydney,-33.86817,151.20525,Entire home/apt,152,1,37,2021-11-04,37,27,0,37,PID-STRA-21423
46880109,PROS - The Lodge - Neutral Bay Holiday House,16357713,PropertyProviders,,North Sydney,-33.83231,151.21563,Entire home/apt,475,7,0,,,87,0,0,PID-STRA-19580
46880736,Superior Twin Room,108189888,Twin Towers Inn,,Lane Cove,-33.81865,151.18212,Private room,157,1,0,,,11,236,0,Exempt
46881354,Luxury Bondi Beachfront Penthouse  Campbell Pd,113874,Bondi Beach Holiday Homes,,Waverley,-33.88885,151.2831,Entire home/apt,2500,90,0,,,47,17,0,
46882235,Harbour Waterfront-Entire Apartment-Stunning Views,24953454,Ginny,,North Sydney,-33.84422,151.22387,Entire home/apt,216,90,1,2021-06-24,0.22,1,0,1,
46882488,A Spacious & Cozy Apt for 6 Next to Darling Harbour,343442154,Advante Homes,,Sydney,-33.86997,151.20526,Entire home/apt,154,1,49,2021-11-02,4.65,27,59,49,PID-STRA-13218
46882667,Huge Master Bedroom right next to the city centre!,48313169,Rick,,Sydney,-33.88021,151.21154,Private room,45,90,2,2020-12-19,0.18,1,0,2,
46882922,The tree house,198987450,Saba,,Parramatta,-33.7943,151.03828,Entire home/apt,150,90,0,,,1,90,0,
46884698,great location for large family & groups,303607328,Joe,,Auburn,-33.84104,151.04555,Entire home/apt,279,2,2,2021-04-16,0.26,2,49,2,PID-STRA-19276
46884806,"Cute Cottage walk to Double Bay Shops,Beach",183048901,Patrick,,Woollahra,-33.88252,151.24543,Entire home/apt,534,90,0,,,1,362,0,
46885868,Katie's on Karrabee,180204092,Emma,,Warringah,-33.75434,151.28038,Entire home/apt,250,2,17,2021-08-07,1.60,1,136,17,PID-STRA-9222
46886596,"Spacious apartment, the ultimate Bondi lifestyle",14739318,Anna,,Waverley,-33.89747,151.26439,Entire home/apt,334,3,3,2021-06-10,0.54,7,145,3,PID-STRA-14154-2
46886937,Treetop bay views in Elizabeth Bay,32743222,Charlie,,Sydney,-33.87095,151.22897,Entire home/apt,380,90,0,,,1,0,0,
46888187,Manly family beachside getaway - ideal location,18366782,Eleanor,,Manly,-33.78577,151.28367,Entire home/apt,900,3,0,,,1,0,0,PID-STRA-907-5
46898477,Modern apartment near train stations + car parking,99090929,Cleber,,City Of Kogarah,-33.96873,151.12966,Entire home/apt,100,90,1,2021-01-05,0.10,1,0,1,
46899306,2Bedroom Unit in Newtown,16205723,Eylem,,Marrickville,-33.89211,151.17958,Entire home/apt,200,90,0,,,1,0,0,
46900012,Beautiful BONDI 2-brm Holiday Rental,81417225,Genna,,Waverley,-33.88895,151.2631,Entire home/apt,235,90,0,,,2,0,0,
