id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29743177,Theatel Haneda/6min ride to Airport/Loft Bed Room,203667442,Theatel,,Ota Ku,35.54733,139.74908,Private room,10979,1,2,2021-03-22,0.06,5,153,1,Hotels and Inns Business Act | 大田区保健所長 西田 みちよ | 保生環第0132号
29743426,Theatel Haneda/6min ride to  Airport/Superior Room,203667442,Theatel,,Ota Ku,35.54694,139.74797,Private room,11836,1,2,2021-05-01,0.08,5,162,1,Hotels and Inns Business Act | 大田区保健所長 西田 みちよ | 保生環第0132号
29745356,7minsAsakusa✿NearSkytree✿FreeWIFI＠AsakusaSmileApt2,169212180,青木靖高,,Sumida Ku,35.70641,139.80045,Entire home/apt,6271,2,22,2021-03-29,0.58,4,89,1,Hotels and Inns Business Act | 墨田区保健所 | 31墨福衛生環第91号
29745548,7minsAsakusa✿NearSkytree✿FreeWIFI＠AsakusaSmileApt3,169212180,青木靖高,,Sumida Ku,35.70409,139.80216,Entire home/apt,5443,2,14,2019-11-12,0.37,4,88,0,Hotels and Inns Business Act | 墨田区保健所 | 31墨福衛生環第91号
29746545,Elegant spacious JP-style Apt building in Akasaka,9018856,Vivian,,Minato Ku,35.66993,139.74004,Entire home/apt,72000,3,7,2021-11-21,0.21,4,55,2,Hotels and Inns Business Act | 東京都港区港区保健所 | 30港み生環き第63号
29747013,Best place for RWC♪CS2,63215120,Haru,,Ota Ku,35.56889,139.70927,Entire home/apt,7000,2,44,2021-07-29,1.17,4,0,9,M130009931
29754168,YS Monthly Split Rooms Yoga,4838043,Robert,,Setagaya Ku,35.62982,139.63487,Entire home/apt,4179,1,6,2021-02-03,0.19,41,75,1,M130002825
29764630,Nestle Tokyo Deluxe Akihabara 05,191517619,Sea,,Chiyoda Ku,35.69695,139.7811,Entire home/apt,39143,1,23,2021-04-18,0.61,5,12,2,M130009513
29764707,Nestle Tokyo Deluxe Akihabara 04,191517619,Sea,,Chiyoda Ku,35.69623,139.77918,Entire home/apt,39143,1,3,2019-11-03,0.08,5,0,0,M130009503
29766369,HOYO東京Akasaka#902/1min from Akasaka sta+RoomWiFi,198552582,Masa,,Minato Ku,35.67374,139.73775,Entire home/apt,8000,1,54,2021-01-30,1.45,12,239,1,M130009851
29767293,36pp ok Asakusa Sta.   4 min . Senshouji  8 min,57699141,Qiu,,Taito Ku,35.7177,139.79101,Entire home/apt,98571,2,0,,,26,171,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第163号
29768017,２F    Asakusa Sta.   4 min . Senshouji  8 min,57699141,Qiu,,Taito Ku,35.71675,139.79121,Entire home/apt,24571,2,8,2020-01-22,0.22,26,173,0,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第163号
